"","Celebrity","Power_Ranking","Pay_Amount"
"1","Tom Cruise",1,67
"2","Rolling Stones",2,90
"3","Oprah Winfrey",3,225
"4","U2",4,110
"5","Tiger Woods",5,90
"6","Steven Spielberg",6,332
"7","Howard Stern",7,302
"8","50 Cent",8,41
"9","Cast of the Sopranos",9,52
"10","Dan Brown",10,88
"11","Bruce Springsteen",11,55
"12","Donald Trump",12,44
"13","Muhammad Ali",13,55
"14","Paul McCartney",14,40
"15","George Lucas",15,233
"16","Elton John",16,34
"17","David Letterman",17,40
"18","Phil Mickelson",18,47
"19","J.K Rowling",15,90
"20","Bradd Pitt",20,25
"21","Peter Jackson",21,39
"22","Dr. Phil McGraw",22,45
"23","Jay Lenon",23,32
"24","Celine Dion",24,40
"25","Kobe Bryant",25,31
